timestamp,sql_file,source,task,llm,strategy,repetition,db_type,m1_executability,m2_schema_correct,m2_has_case_id,m2_has_activity,m2_has_timestamp,columns,column_types,row_count,latency_s,error_class,error_msg
2026-03-13T08:44:14.348683+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/few_shot_r1.sql,llm,t1,claude,few_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,15.354,,
2026-03-13T08:44:28.560711+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/few_shot_r2.sql,llm,t1,claude,few_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,14.207,,
2026-03-13T08:44:42.748277+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/few_shot_r3.sql,llm,t1,claude,few_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,14.184,,
2026-03-13T08:44:58.721721+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/schema_aware_r1.sql,llm,t1,claude,schema_aware,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,15.97,,
2026-03-13T08:45:14.693314+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/schema_aware_r2.sql,llm,t1,claude,schema_aware,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,15.969,,
2026-03-13T08:45:28.179808+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/schema_aware_r3.sql,llm,t1,claude,schema_aware,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,13.484,,
2026-03-13T08:46:15.307340+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r1.sql,llm,t1,claude,zero_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,47.123,,
2026-03-13T08:47:02.124623+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r2.sql,llm,t1,claude,zero_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,46.813,,
2026-03-13T08:47:48.832135+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r3.sql,llm,t1,claude,zero_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,46.703,,
2026-03-13T08:47:53.006058+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/few_shot_r1.sql,llm,t1,gpt4o,few_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,4.17,,
2026-03-13T08:47:56.077326+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/few_shot_r2.sql,llm,t1,gpt4o,few_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.067,,
2026-03-13T08:47:59.125724+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/few_shot_r3.sql,llm,t1,gpt4o,few_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.044,,
2026-03-13T08:48:03.090755+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/schema_aware_r1.sql,llm,t1,gpt4o,schema_aware,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.961,,
2026-03-13T08:48:07.148228+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/schema_aware_r2.sql,llm,t1,gpt4o,schema_aware,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,4.054,,
2026-03-13T08:48:11.129628+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/schema_aware_r3.sql,llm,t1,gpt4o,schema_aware,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.977,,
2026-03-13T08:48:15.050337+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r1.sql,llm,t1,gpt4o,zero_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.917,,
2026-03-13T08:48:18.963029+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r2.sql,llm,t1,gpt4o,zero_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.909,,
2026-03-13T08:48:22.871898+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r3.sql,llm,t1,gpt4o,zero_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.906,,
2026-03-13T08:48:26.144218+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/few_shot_r1.sql,llm,t1,llama3,few_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.268,,
2026-03-13T08:48:29.327092+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/few_shot_r2.sql,llm,t1,llama3,few_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.178,,
2026-03-13T08:48:32.580744+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/few_shot_r3.sql,llm,t1,llama3,few_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.249,,
2026-03-13T08:48:34.200344+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/schema_aware_r1.sql,llm,t1,llama3,schema_aware,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,1.616,,
2026-03-13T08:48:36.790909+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/schema_aware_r2.sql,llm,t1,llama3,schema_aware,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,2.587,,
2026-03-13T08:48:38.334473+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/schema_aware_r3.sql,llm,t1,llama3,schema_aware,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,1.54,,
2026-03-13T08:48:41.702189+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r1.sql,llm,t1,llama3,zero_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1082,-1,3.364,,
2026-03-13T08:48:45.037936+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r2.sql,llm,t1,llama3,zero_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1082,-1,3.333,,
2026-03-13T08:48:48.364843+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r3.sql,llm,t1,llama3,zero_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1082,-1,3.324,,
2026-03-13T08:49:52.528200+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/few_shot_r1.sql,llm,t2,claude,few_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,64.158,,
2026-03-13T08:50:57.518452+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/few_shot_r2.sql,llm,t2,claude,few_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,64.985,,
2026-03-13T08:52:01.734924+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/few_shot_r3.sql,llm,t2,claude,few_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,64.213,,
2026-03-13T08:53:06.604679+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/schema_aware_r1.sql,llm,t2,claude,schema_aware,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,64.865,,
2026-03-13T08:55:55.294224+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/schema_aware_r2.sql,llm,t2,claude,schema_aware,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.628,,
2026-03-13T08:55:58.700123+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/schema_aware_r3.sql,llm,t2,claude,schema_aware,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.401,,
2026-03-13T08:56:25.306763+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/zero_shot_r1.sql,llm,t2,claude,zero_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,26.601,,
2026-03-13T08:56:51.884319+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/zero_shot_r2.sql,llm,t2,claude,zero_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,26.573,,
2026-03-13T08:57:18.510285+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/claude/zero_shot_r3.sql,llm,t2,claude,zero_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,26.622,,
2026-03-13T08:57:23.158538+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/few_shot_r1.sql,llm,t2,gpt4o,few_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,4.645,,
2026-03-13T08:57:26.269274+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/few_shot_r2.sql,llm,t2,gpt4o,few_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.107,,
2026-03-13T08:57:29.367071+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/few_shot_r3.sql,llm,t2,gpt4o,few_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.094,,
2026-03-13T08:57:32.434770+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/schema_aware_r1.sql,llm,t2,gpt4o,schema_aware,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.064,,
2026-03-13T08:57:35.522076+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/schema_aware_r2.sql,llm,t2,gpt4o,schema_aware,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.083,,
2026-03-13T08:57:38.609179+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/schema_aware_r3.sql,llm,t2,gpt4o,schema_aware,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.083,,
2026-03-13T08:57:38.623169+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/zero_shot_r1.sql,llm,t2,gpt4o,zero_shot,1,postgres,0,0,False,False,False,,,0,0.01,missing_column,"column de.visit_occurrence_id does not exist LINE 28:     de.visit_occurrence_id AS case_id,              ^ "
2026-03-13T08:57:38.629361+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/zero_shot_r2.sql,llm,t2,gpt4o,zero_shot,2,postgres,0,0,False,False,False,,,0,0.004,missing_column,"column ""visit_occurrence_id"" does not exist LINE 28:     visit_occurrence_id AS case_id,              ^ "
2026-03-13T08:57:38.634996+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/gpt4o/zero_shot_r3.sql,llm,t2,gpt4o,zero_shot,3,postgres,0,0,False,False,False,,,0,0.004,missing_column,"column ""visit_occurrence_id"" does not exist LINE 28:     visit_occurrence_id AS case_id,              ^ "
2026-03-13T08:57:38.640787+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/few_shot_r1.sql,llm,t2,llama3,few_shot,1,postgres,0,0,False,False,False,,,0,0.004,missing_column,"column de.visit_occurrence_id does not exist LINE 30:     de.visit_occurrence_id AS case_id,              ^ HINT:  Perhaps you meant to reference the column ""vo.visit_occurrence_id"". "
2026-03-13T08:57:38.646938+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/few_shot_r2.sql,llm,t2,llama3,few_shot,2,postgres,0,0,False,False,False,,,0,0.004,missing_column,"column de.visit_occurrence_id does not exist LINE 30:     de.visit_occurrence_id AS case_id,              ^ HINT:  Perhaps you meant to reference the column ""vo.visit_occurrence_id"". "
2026-03-13T08:57:38.652534+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/few_shot_r3.sql,llm,t2,llama3,few_shot,3,postgres,0,0,False,False,False,,,0,0.004,missing_column,"column de.visit_occurrence_id does not exist LINE 30:     de.visit_occurrence_id AS case_id,              ^ HINT:  Perhaps you meant to reference the column ""vo.visit_occurrence_id"". "
2026-03-13T08:57:38.658212+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/schema_aware_r1.sql,llm,t2,llama3,schema_aware,1,postgres,0,0,False,False,False,,,0,0.004,missing_column,"column de.visit_occurrence_id does not exist LINE 28:     de.visit_occurrence_id AS case_id,              ^ "
2026-03-13T08:57:41.747765+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/schema_aware_r2.sql,llm,t2,llama3,schema_aware,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.087,,
2026-03-13T08:57:41.755124+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/schema_aware_r3.sql,llm,t2,llama3,schema_aware,3,postgres,0,0,False,False,False,,,0,0.005,missing_column,"column de.visit_occurrence_id does not exist LINE 28:     de.visit_occurrence_id AS case_id,              ^ "
2026-03-13T08:57:50.290554+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/zero_shot_r1.sql,llm,t2,llama3,zero_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,8.533,,
2026-03-13T08:57:50.299096+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/zero_shot_r2.sql,llm,t2,llama3,zero_shot,2,postgres,0,0,False,False,False,,,0,0.005,missing_column,"column de.visit_occurrence_id does not exist LINE 22:   de.visit_occurrence_id AS case_id,            ^ HINT:  Perhaps you meant to reference the column ""vo.visit_occurrence_id"". "
2026-03-13T08:57:50.307422+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t2/llama3/zero_shot_r3.sql,llm,t2,llama3,zero_shot,3,postgres,0,0,False,False,False,,,0,0.006,missing_column,"column dra.visit_occurrence_id does not exist LINE 22:   dra.visit_occurrence_id AS case_id,            ^ "
2026-03-13T08:57:50.408092+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/few_shot_r1.sql,llm,t3,claude,few_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,0.098,,
2026-03-13T08:57:50.457112+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/few_shot_r2.sql,llm,t3,claude,few_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,0.045,,
2026-03-13T08:57:50.511482+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/few_shot_r3.sql,llm,t3,claude,few_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,0.051,,
2026-03-13T08:57:54.298231+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/schema_aware_r1.sql,llm,t3,claude,schema_aware,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,3.782,,
2026-03-13T08:57:55.612080+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/schema_aware_r2.sql,llm,t3,claude,schema_aware,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,1.31,,
2026-03-13T08:57:56.883044+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/schema_aware_r3.sql,llm,t3,claude,schema_aware,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,1.266,,
2026-03-13T08:57:58.936578+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/zero_shot_r1.sql,llm,t3,claude,zero_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,2.049,,
2026-03-13T08:58:00.313018+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/zero_shot_r2.sql,llm,t3,claude,zero_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,1.373,,
2026-03-13T08:58:01.697746+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/claude/zero_shot_r3.sql,llm,t3,claude,zero_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,1.381,,
2026-03-13T08:58:06.485618+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/gpt4o/few_shot_r1.sql,llm,t3,gpt4o,few_shot,1,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,4.784,,
2026-03-13T08:58:08.822340+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/gpt4o/few_shot_r2.sql,llm,t3,gpt4o,few_shot,2,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,2.332,,
2026-03-13T08:58:13.059471+00:00,/sessions/admiring-cool-mayer/mnt/ELG with AI/experiment/outputs/t3/gpt4o/few_shot_r3.sql,llm,t3,gpt4o,few_shot,3,postgres,1,1,True,True,True,case_id|activity|timestamp,20|25|1114,-1,4.233,,
