run_at,task,llm,strategy,repetition,m4a_jaccard,m4b_trace_sim,llm_activity_types,gt_activity_types,intersection_size,union_size
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,zero_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,zero_shot,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,zero_shot,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,schema_aware,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,schema_aware,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,schema_aware,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,few_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,few_shot,2,,,0,295,0,295
2026-03-13T11:11:38.071124+00:00,t1,gpt4o,few_shot,3,,,0,295,0,295
2026-03-13T11:11:38.071124+00:00,t1,claude,zero_shot,1,0.0101,,5,295,3,297
2026-03-13T11:11:38.071124+00:00,t1,claude,zero_shot,2,0.0101,,5,295,3,297
2026-03-13T11:11:38.071124+00:00,t1,claude,zero_shot,3,0.0101,,5,295,3,297
2026-03-13T11:11:38.071124+00:00,t1,claude,schema_aware,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,schema_aware,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,schema_aware,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,few_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,few_shot,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,claude,few_shot,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,zero_shot,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,zero_shot,2,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,zero_shot,3,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,schema_aware,1,0.0068,,2,295,2,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,schema_aware,2,0.0068,,3,295,2,296
2026-03-13T11:11:38.071124+00:00,t1,llama3,schema_aware,3,,,0,295,0,295
2026-03-13T11:11:38.071124+00:00,t1,llama3,few_shot,1,0.0101,,4,295,3,296
2026-03-13T11:11:38.071124+00:00,t1,llama3,few_shot,2,0.0101,,4,295,3,296
2026-03-13T11:11:38.071124+00:00,t1,llama3,few_shot,3,0.0101,,4,295,3,296
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,zero_shot,1,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,zero_shot,2,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,zero_shot,3,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,schema_aware,1,0.0,,5488,3918,0,9406
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,schema_aware,2,0.0,,5488,3918,0,9406
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,schema_aware,3,0.0,,5488,3918,0,9406
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,few_shot,1,0.0,,5488,3918,0,9406
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,few_shot,2,0.0,,5488,3918,0,9406
2026-03-13T11:11:38.071124+00:00,t2,gpt4o,few_shot,3,0.0,,5488,3918,0,9406
2026-03-13T11:11:38.071124+00:00,t2,claude,zero_shot,1,0.0,,5453,3918,0,9371
2026-03-13T11:11:38.071124+00:00,t2,claude,zero_shot,2,0.0,,5453,3918,0,9371
2026-03-13T11:11:38.071124+00:00,t2,claude,zero_shot,3,0.0,,5453,3918,0,9371
2026-03-13T11:11:38.071124+00:00,t2,claude,schema_aware,1,0.0,,5453,3918,0,9371
2026-03-13T11:11:38.071124+00:00,t2,claude,schema_aware,2,0.0,,5453,3918,0,9371
2026-03-13T11:11:38.071124+00:00,t2,claude,schema_aware,3,0.0,,5453,3918,0,9371
2026-03-13T11:11:38.071124+00:00,t2,claude,few_shot,1,0.0,,5485,3918,0,9403
2026-03-13T11:11:38.071124+00:00,t2,claude,few_shot,2,0.0,,5485,3918,0,9403
2026-03-13T11:11:38.071124+00:00,t2,claude,few_shot,3,0.0,,5485,3918,0,9403
2026-03-13T11:11:38.071124+00:00,t2,llama3,zero_shot,1,0.0,,3960,3918,0,7878
2026-03-13T11:11:38.071124+00:00,t2,llama3,zero_shot,2,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,llama3,zero_shot,3,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,llama3,schema_aware,1,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,llama3,schema_aware,2,0.0,,3960,3918,0,7878
2026-03-13T11:11:38.071124+00:00,t2,llama3,schema_aware,3,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,llama3,few_shot,1,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,llama3,few_shot,2,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t2,llama3,few_shot,3,0.0,,0,3918,0,
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,zero_shot,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,zero_shot,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,zero_shot,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,schema_aware,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,schema_aware,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,schema_aware,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,few_shot,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,few_shot,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,gpt4o,few_shot,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,zero_shot,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,zero_shot,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,zero_shot,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,schema_aware,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,schema_aware,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,schema_aware,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,few_shot,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,few_shot,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,claude,few_shot,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,zero_shot,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,zero_shot,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,zero_shot,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,schema_aware,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,schema_aware,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,schema_aware,3,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,few_shot,1,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,few_shot,2,0.0005,,4,1839,1,1842
2026-03-13T11:11:38.071124+00:00,t5,llama3,few_shot,3,0.0005,,4,1839,1,1842
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,zero_shot,1,0.0,,2,2389,0,2391
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,zero_shot,2,0.0,,2,2389,0,2391
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,zero_shot,3,0.0,,3,2389,0,2392
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,schema_aware,1,0.0,,6,2389,0,2395
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,schema_aware,2,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,schema_aware,3,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,few_shot,1,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,few_shot,2,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,gpt4o,few_shot,3,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,zero_shot,1,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,zero_shot,2,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,zero_shot,3,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,schema_aware,1,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,schema_aware,2,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,schema_aware,3,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,few_shot,1,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,few_shot,2,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,claude,few_shot,3,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,llama3,zero_shot,1,0.0,,1078,2389,0,3467
2026-03-13T11:12:46.557359+00:00,t3,llama3,zero_shot,2,0.0,,802,2389,0,3191
2026-03-13T11:12:46.557359+00:00,t3,llama3,zero_shot,3,0.0,,802,2389,0,3191
2026-03-13T11:12:46.557359+00:00,t3,llama3,schema_aware,1,0.0,,1078,2389,0,3467
2026-03-13T11:12:46.557359+00:00,t3,llama3,schema_aware,2,0.0,,1078,2389,0,3467
2026-03-13T11:12:46.557359+00:00,t3,llama3,schema_aware,3,0.0,,1078,2389,0,3467
2026-03-13T11:12:46.557359+00:00,t3,llama3,few_shot,1,0.0,,1078,2389,0,3467
2026-03-13T11:12:46.557359+00:00,t3,llama3,few_shot,2,0.0,,5,2389,0,2394
2026-03-13T11:12:46.557359+00:00,t3,llama3,few_shot,3,0.0,,1078,2389,0,3467
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,zero_shot,1,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,zero_shot,2,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,zero_shot,3,0.0,,0,1041,0,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,schema_aware,1,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,schema_aware,2,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,schema_aware,3,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,few_shot,1,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,few_shot,2,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,gpt4o,few_shot,3,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,claude,zero_shot,1,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,claude,zero_shot,2,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,claude,zero_shot,3,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,claude,schema_aware,1,0.0,,3,1041,0,1044
2026-03-13T11:37:19.525096+00:00,t4,claude,schema_aware,2,0.0,,3,1041,0,1044
2026-03-13T11:37:19.525096+00:00,t4,claude,schema_aware,3,0.0,,3,1041,0,1044
2026-03-13T11:37:19.525096+00:00,t4,claude,few_shot,1,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,claude,few_shot,2,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,claude,few_shot,3,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,llama3,zero_shot,1,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,llama3,zero_shot,2,0.0,,0,1041,0,
2026-03-13T11:37:19.525096+00:00,t4,llama3,zero_shot,3,0.0,,0,1041,0,
2026-03-13T11:37:19.525096+00:00,t4,llama3,schema_aware,1,0.0,,0,1041,0,
2026-03-13T11:37:19.525096+00:00,t4,llama3,schema_aware,2,0.0,,0,1041,0,
2026-03-13T11:37:19.525096+00:00,t4,llama3,schema_aware,3,0.0,,0,1041,0,
2026-03-13T11:37:19.525096+00:00,t4,llama3,few_shot,1,0.0,,0,1041,0,
2026-03-13T11:37:19.525096+00:00,t4,llama3,few_shot,2,,,,1041,,
2026-03-13T11:37:19.525096+00:00,t4,llama3,few_shot,3,,,,1041,,
